Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Metal Raiders,,Rare,Witch of the Black Forest,,Monster,DARK,Spellcaster / Effect,4,1100 / 1200,,,,,,
Photon Shockwave,,Common,Plasma Ball,,Monster,LIGHT,Thunder / Effect,3,900 / 900,,,,,,
Rise of the Duelist,,Ultra Rare,Koa'ki Meiru Supplier,,Monster,EARTH,Rock / Effect,4,1400 / 1600,,,,,,
Pharaonic Guardian,,Rare,Coffin Seller,,Trap,,,,,,,,,,
Rising Rampage,,Common,"Elborz, the Sacred Lands of Simorgh",,Spell,,,,,,,,,,
Duelist Alliance,,Common,Cloudcastle,,Monster,WIND,Machine / Synchro / Effect,9,0 / 3000,,,,,,
Shadow of Infinity,,Common,Samsara,,Spell,,,,,,,,,,
Cybernetic Revolution,,Common,Patroid,,Monster,EARTH,Machine / Effect,4,1200 / 1200,,,,,,
Lord of the Tachyon Galaxy,,Ultra Rare,Gauntlet Launcher,,Monster,EARTH,Warrior / Xyz / Effect,,2400 / 2800,6,,,,,
Stardust Overdrive,,Common,Reptilianne Scylla,,Monster,DARK,Reptile / Effect,4,1800 / 1200,,,,,,
Lightning Overdrive,,Common,Otoshidamashi,,Monster,EARTH,Beast / Tuner / Effect,1,1000 / 1000,,,,,,
Lightning Overdrive,,Common,Sunvine Cross Breed,,Spell,,,,,,,,,,
Storm of Ragnarok,,Super Rare,D.D. Sprite,,Monster,LIGHT,Fairy / Tuner / Effect,1,0 / 100,,,,,,
Flaming Eternity,,Common,Insect Knight,,Monster,EARTH,Insect,4,1900 / 1500,,,,,,
The Dark Illusion,,Common,Paleozoic Olenoides,,Trap,,,,,,,,,,
Circuit Break,,Common,F.A. Pit Stop,,Spell,,,,,,,,,,
Burst of Destiny,,Ultra Rare,Ultra Beetrooper Absolute Hercules,,Monster,EARTH,Insect / Fusion / Effect,11,4000 / 4000,,,,,,
Invasion: Vengeance,,Common,Aromaseraphy Angelica,,Monster,LIGHT,Plant / Tuner / Effect,1,0 / 0,,,,,,
The Duelist Genesis,,Super Rare,Counselor Lily,,Monster,EARTH,Fairy / Tuner,3,400 / 1500,,,,,,
Ancient Prophecy,,Rare,Darksea Rescue,,Monster,DARK,Machine / Effect,1,0 / 0,,,,,,
Power of the Duelist,,Common,Fake Hero,,Spell,,,,,,,,,,
Chaos Impact,,Super Rare,Dream Mirror Phantasms,,Spell,,,,,,,,,,
Ignition Assault,,Rare,Ibicella Lutea,,Monster,EARTH,Plant / Effect,4,1800 / 100,,,,,,
Soul Fusion,,Common,Rise of the Salamangreat,,Spell,,,,,,,,,,
Storm of Ragnarok,,Common,Top Runner,,Monster,WIND,Machine / Tuner,4,1100 / 800,,,,,,
Duelist Alliance,,Super Rare,The Traveler and the Burning Abyss,,Trap,,,,,,,,,,
Crossed Souls,,Ultra Rare,The Terminus of the Burning Abyss,,Spell,,,,,,,,,,
Phantom Darkness,,Common,Black Veloci,,Monster,EARTH,Dinosaur / Effect,4,1800 / 300,,,,,,
Pharaonic Guardian,,Common,Swarm of Locusts,,Monster,DARK,Insect / Effect,3,1000 / 500,,,,,,
Raging Battle,,Common,Blackwing - Shura the Blue Flame,,Monster,DARK,Winged Beast / Effect,4,1800 / 1200,,,,,,
Lightning Overdrive,,Ultra Rare,Live☆Twin Ki-sikil Frost,,Monster,LIGHT,Aqua / Effect,2,500 / 0,,,,,,
Elemental Energy,,Common,The League of Uniform Nomenclature,,Trap,,,,,,,,,,
Storm of Ragnarok,,Common,Nordic Relic Brisingamen,,Trap,,,,,,,,,,
Dawn of Majesty,,Secret Rare,Stardust Synchron,,Monster,LIGHT,Machine / Tuner / Effect,4,1500 / 1000,,,,,,
Maximum Crisis ,,Common,Double Resonator,,Monster,FIRE,Fiend / Tuner / Effect,1,0 / 0,,,,,,
Absolute Powerforce,,Secret Rare,Shield Wing,,Monster,WIND,Winged Beast / Effect,2,0 / 900,,,,,,
Flames of Destruction,,Rare,Greatfly,,Monster,WIND,Insect / Link / Effect,,,,,,,,
Pharaoh's Servant,,Rare,Skull Invitation,,Trap,,,,,,,,,,
Soul of the Duelist,,Common,Enraged Muka Muka,,Monster,EARTH,Rock / Effect,5,1200 / 600,,,,,,
Metal Raiders,,Common,Mega Thunderball,,Monster,WIND,Thunder,2,750 / 600,,,,,,
Battle of Chaos,,Common,Fire Opal Head,,Monster,FIRE,Dinosaur / Pendulum / Normal,6,2500 / 1000,,,,,,
Raging Battle,,Super Rare,Sea Dragon Lord Gishilnodon,,Monster,WATER,Sea Serpent / Synchro / Effect,5,2300 / 1800,,,,,,
Legacy of Darkness,,Super Rare,Reinforcement of the Army,,Spell,,,,,,,,,,
The Duelist Genesis,,Rare,Big Piece Golem,,Monster,EARTH,Rock / Effect,5,2100 / 0,,,,,,
Elemental Energy,,Common,Dark World Lightning,,Spell,,,,,,,,,,
Return of the Duelist,,Common,Heroic Challenger - Swordshield,,Monster,EARTH,Warrior / Effect,4,0 / 2000,,,,,,
Lightning Overdrive,,Ultra Rare,Amaze Attraction Horror House,,Trap,,,,,,,,,,
Light of Destruction,,Common,"Interplanetary Invader ""A""",,Monster,LIGHT,Reptile / Effect,1,0 / 500,,,,,,
Cybernetic Horizon,,Common,Link Devotee,,Monster,EARTH,Cyberse / Link / Effect,,,,,,,,
Generation Force,,Secret Rare,Smashing Horn,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,The Flute of Summoning Kuriboh,,Spell,,,,,,,,,,
Starstrike Blast,,Common,Scrap Lube,,Spell,,,,,,,,,,
The Lost Millennium,,Rare,Nitro Unit,,Spell,,,,,,,,,,
Gladiator's Assault,,Rare,Goblin Black Ops,,Monster,DARK,Beast-Warrior / Effect,4,1300 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Common,Skull Red Bird,,Monster,WIND,Winged Beast,4,1550 / 1200,,,,,,
Clash of Rebellions,,Common,Balance of Judgment,,Trap,,,,,,,,,,
